"Cipher Info","","","","Implementation Info","","","Code Size","","","","","RAM","","","","","","","","","","Execution Time","","",""
"","","","","","","","","","","","Stack","","","","Data","","","",""
"Cipher","Block Size (bits)","Key Size (bits)","Version","Language","Options","EKS (bytes)","E (bytes)","DKS (bytes)","D(bytes)","EKS + E + DKS + D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","Common (bytes)","Total (bytes)","EKS (cycles)","E (cycles)","DKS (cycles)","D (cycles)"
"NOEKEON","128","128","04","C",="-O2","428","512","0","584","740","-","-","-","-","-","-","-","-","-","-","3730","32510","0","33190"
"NOEKEON","128","128","04","C",="-O1","404","484","0","568","720","-","-","-","-","-","-","-","-","-","-","4791","40301","0","42181"
"NOEKEON","128","128","04","C",="-Os","394","448","0","532","666","-","-","-","-","-","-","-","-","-","-","4718","40830","0","41425"
"NOEKEON","128","128","05","C",="-O3","92","896","0","1144","1660","-","-","-","-","-","-","-","-","-","-","20","18505","0","18932"
"NOEKEON","128","128","05","C",="-O2","92","492","0","564","752","-","-","-","-","-","-","-","-","-","-","20","29942","0","30630"
"NOEKEON","128","128","05","C",="-O1","92","464","0","544","732","-","-","-","-","-","-","-","-","-","-","17","34809","0","36817"
"NOEKEON","128","128","05","C",="-Os","86","424","0","506","656","-","-","-","-","-","-","-","-","-","-","33","36075","0","38034"
"NOEKEON","128","128","06","C",="-O3","24","728","0","964","1716","-","-","-","-","-","-","-","-","-","-","22","13240","0","9630"
"NOEKEON","128","128","06","C",="-O2","24","400","0","460","884","-","-","-","-","-","-","-","-","-","-","22","15210","0","11606"
"NOEKEON","128","128","06","C",="-O1","24","360","0","468","852","-","-","-","-","-","-","-","-","-","-","20","16027","0","12772"
"NOEKEON","128","128","06","C",="-Os","18","340","0","446","804","-","-","-","-","-","-","-","-","-","-","42","15434","0","11799"
"NOEKEON","128","128","07","C",="-O3","44","732","0","1000","1736","-","-","-","-","-","-","-","-","-","-","22","12284","0","10618"
"NOEKEON","128","128","07","C",="-O2","44","404","0","496","904","-","-","-","-","-","-","-","-","-","-","22","14030","0","12565"
"NOEKEON","128","128","07","C",="-O1","44","372","0","484","860","-","-","-","-","-","-","-","-","-","-","19","15617","0","14501"
"NOEKEON","128","128","07","C",="-Os","35","365","0","475","841","-","-","-","-","-","-","-","-","-","-","32","16146","0","14238"
"NOEKEON","128","128","08","C",="-O3","24","2544","0","2644","5212","-","-","-","-","-","-","-","-","-","-","20","9434","0","7265"
"NOEKEON","128","128","08","C",="-O2","24","2216","0","2140","4380","-","-","-","-","-","-","-","-","-","-","20","10410","0","8524"
"NOEKEON","128","128","08","C",="-O1","24","2220","0","2312","4556","-","-","-","-","-","-","-","-","-","-","20","11228","0","10211"
"NOEKEON","128","128","08","C",="-Os","18","2200","0","2294","4512","-","-","-","-","-","-","-","-","-","-","39","11527","0","9850"
"NOEKEON","128","128","09","C",="-O3","44","688","0","960","1652","-","-","-","-","-","-","-","-","-","-","23","7540","0","8579"
"NOEKEON","128","128","09","C",="-O2","44","360","0","456","820","-","-","-","-","-","-","-","-","-","-","23","9347","0","9621"
"NOEKEON","128","128","09","C",="-O1","44","364","0","452","820","-","-","-","-","-","-","-","-","-","-","17","9319","0","10943"
"NOEKEON","128","128","09","C",="-Os","35","325","0","443","769","-","-","-","-","-","-","-","-","-","-","38","10286","0","12055"
"NOEKEON","128","128","10","C",="-O3","44","704","0","952","1660","-","-","-","-","-","-","-","-","-","-","21","8783","0","9970"
"NOEKEON","128","128","10","C",="-O2","44","360","0","448","812","-","-","-","-","-","-","-","-","-","-","21","10676","0","10499"
"NOEKEON","128","128","10","C",="-O1","44","368","0","456","828","-","-","-","-","-","-","-","-","-","-","19","10353","0","11713"
"NOEKEON","128","128","10","C",="-Os","35","341","0","443","785","-","-","-","-","-","-","-","-","-","-","39","10687","0","11574"
"NOEKEON","128","128","11","C",="-O3","44","756","0","1036","1508","-","-","-","-","-","-","-","-","-","-","23","10838","0","11856"
"NOEKEON","128","128","11","C",="-O2","44","428","0","532","676","-","-","-","-","-","-","-","-","-","-","23","12638","0","12901"
"NOEKEON","128","128","11","C",="-O1","44","404","0","516","660","-","-","-","-","-","-","-","-","-","-","19","10525","0","11917"
"NOEKEON","128","128","11","C",="-Os","35","367","0","481","595","-","-","-","-","-","-","-","-","-","-","30","11858","0","12886"
"NOEKEON","128","128","12","C",="-O3","44","2528","0","2820","5352","-","-","-","-","-","-","-","-","-","-","22","6696","0","7446"
